_id,content,date,id,language,like_count,reply_count,retweet_count,source,url,user
64301934b223becbf1de095a,@OfficeOfKPM @kpmaurya1 @DyCMGoUP @BJP4UP @UPGovt @UpRuralDev @PMOIndia @BJP4India जन कल्याणकारी योजनाओं को मंत्री एवं अधिकारी पहले अपने घरों तक पहुंचा लें फिर जनता की याद करें जनता तो सिर्फ इलेक्शन में याद आती है 5 साल जनता है कहां।,2023-04-06T23:53:20.000Z,1644126173491003392,hi,0,0,0,Twitter for Android,https://twitter.com/OmkarnathMaur17/status/1644126173491003392,OmkarnathMaur17
64301934b223becbf1de095b,@CMOfficeUP @myogiadityanath @UPGovt अधिकारी अगर प्राथमिकता के तौर पर जनता के शिकायत का निवारण कर देते तो जनता लखनऊ क्यों जाती है सिर्फ जनता को परेशान करने का एक तरीका है कुर्सी वालों का खेल है यह जनता परेशान अधिकारी और मंत्री मजे ले।,2023-04-06T23:52:02.000Z,1644125847144779777,hi,0,0,0,Twitter for Android,https://twitter.com/OmkarnathMaur17/status/1644125847144779777,OmkarnathMaur17
64301934b223becbf1de095c,https://t.co/wAq2S9jqe9,2023-04-06T23:49:35.000Z,1644125230020038656,zxx,0,0,0,Twitter for Android,https://twitter.com/OmkarpRai1/status/1644125230020038656,OmkarpRai1
64301934b223becbf1de095d,https://t.co/HILm6VmpSL,2023-04-06T23:49:35.000Z,1644125228686094336,zxx,0,0,0,Twitter for Android,https://twitter.com/OmkarpRai1/status/1644125228686094336,OmkarpRai1
64301934b223becbf1de095e,https://t.co/VeKyH7Gmy9,2023-04-06T23:47:46.000Z,1644124769670037504,zxx,0,0,0,Twitter for Android,https://twitter.com/OmkarpRai1/status/1644124769670037504,OmkarpRai1
64301934b223becbf1de095f,https://t.co/eq4RR5qfW0,2023-04-06T23:47:45.000Z,1644124767862267904,zxx,0,0,0,Twitter for Android,https://twitter.com/OmkarpRai1/status/1644124767862267904,OmkarpRai1
64301934b223becbf1de0960,"@RanaAyyub Hello UN,  we Indians aren’t interested in this palestinian conflict going on.  It’s none of our business.  If at all,  we support Israel.  Just voicing 82% of Indian’s  feelings on this topic.",2023-04-06T23:18:12.000Z,1644117332204068864,en,15,2,1,Twitter for iPhone,https://twitter.com/omkar_rudra/status/1644117332204068864,omkar_rudra
64301934b223becbf1de0961,"@AlternativeMUFC When we lose, you can always treat that as a parody and never show the scoreline or the goals. Everyone misses your dissing / praising our / opponent players anyway.",2023-04-06T23:03:45.000Z,1644113692764655619,en,0,0,0,Twitter for Android,https://twitter.com/grakmo87/status/1644113692764655619,grakmo87
64301934b223becbf1de0962,"@theJagmeetSingh You should be deeply concerned of hate crimes in your backyard.  Canadian Hindus are harassed, terrorized everyday in Canada.   Spend some of your concern on your fellow citizens before strutting around the world doling out your “lofty” virtues. 

https://t.co/rkIVb6dBDx",2023-04-06T22:59:27.000Z,1644112613024968704,en,5,0,0,Twitter for iPhone,https://twitter.com/omkar_rudra/status/1644112613024968704,omkar_rudra
64301934b223becbf1de0963,"@misterchambo @LoriMills4CA42 @Jim_Jordan GYM has laid out a perfect process on how to respond to a subpoena.
Ignore it.",2023-04-06T22:48:20.000Z,1644109814224527362,en,1,0,0,Twitter for Android,https://twitter.com/OmkarParanjpe1/status/1644109814224527362,OmkarParanjpe1
